GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
TGOLN2,2,85318018,85328296,29,7,8816,3.319,0.00045168,0.0023747,0.000552,0.176247239,0.352634850806452,0.307129454545455
PLEKHG1,6,150599863,150843665,759,99,8816,3.3155,0.00045745,0.00036044,0.0067707,0.176247239,0.196003675,0.463519502453988
RSPH9,6,43645030,43671013,67,14,8816,3.307,0.00047148,0.00040514,0.0018736,0.176247239,0.196003675,0.43001462
UBXN7,3,196353490,196454318,119,24,8816,3.305,0.00047495,0.0017027,0.0010296,0.176247239,0.300288958490566,0.350083066666667
ASAP2,2,9206765,9405683,311,38,8816,3.302,0.00047995,0.00026047,0.0047481,0.176247239,0.196003675,0.463519502453988
GNA12,7,2728105,2870656,422,39,8816,3.2832,0.00051311,0.00035688,0.0062137,0.184729660980392,0.196003675,0.463519502453988
SCAMP1,5,78360503,78480739,219,21,8816,3.2379,0.00060201,0.00070629,0.0054793,0.206581280181818,0.224200258135593,0.463519502453988
ANKRD6,6,89433178,89633834,335,44,8816,3.2355,0.00060715,0.00062048,0.0037797,0.206581280181818,0.223921055849057,0.463519502453988
ZNF677,19,53235385,53254858,82,11,8816,3.2349,0.00060838,0.0027156,0.0014184,0.206581280181818,0.369341715555556,0.418773872727273
ABCC4,13,95019829,95301446,985,117,8816,3.2301,0.00061881,0.0010012,0.0032983,0.206581280181818,0.249554748192771,0.463519502453988
FBXO31,16,87326987,87392107,113,27,8816,3.2231,0.000634,0.0095067,0.00034195,0.20787275,0.527415662831858,0.30222886037037
ESRP1,8,94641136,94707466,183,21,8816,3.2157,0.00065055,0.0017287,0.0041662,0.209556992105263,0.300288958490566,0.463519502453988
GAK,4,849277,932390,267,39,8816,3.1906,0.00070984,0.0063022,0.00052031,0.221653992,0.500804189224138,0.307129454545455
ZBTB25,14,64449106,64505213,94,14,8816,3.1886,0.0007149,0.00095758,0.0050268,0.221653992,0.249554748192771,0.463519502453988
FAM132B,2,238159008,238168890,34,12,8816,3.1848,0.00072432,0.00072043,0.0026808,0.221653992,0.224200258135593,0.463519502453988
FZD2,17,44557444,44561262,4,3,8816,3.1694,0.00076371,0.0010788,0.0008917,0.228111733387097,0.249554748192771,0.327450074
DYRK4,12,4590072,4613888,51,14,8816,3.1669,0.00077027,0.0009272,0.0019614,0.228111733387097,0.249554748192771,0.430835464705882
LZTS1,8,20246165,20303981,174,48,8816,3.1449,0.00083079,0.0016984,0.003509,0.23446997,0.300288958490566,0.463519502453988
CYSTM1,5,140175068,140243789,104,11,8816,3.1412,0.00084137,0.0016714,0.0073693,0.23446997,0.300288958490566,0.463519502453988
SAP25,7,100572226,100573864,1,1,8816,3.1375,0.0008521,0.0008783,0.0008783,0.23446997,0.248099481538462,0.327450074
VEGFA,6,43770209,43786487,41,17,8816,3.1297,0.00087501,0.001287,0.0032062,0.23446997,0.256854423913043,0.463519502453988
FGD4,12,32399541,32646050,785,77,8816,3.1279,0.00088023,0.00037403,0.019581,0.23446997,0.196003675,0.619753416526138
OASL,12,121020292,121039242,37,14,8816,3.1279,0.00088029,0.00082052,0.0023658,0.23446997,0.240045302222222,0.457246882105263
SHE,1,154469637,154502050,27,7,8816,3.1276,0.00088113,0.0012305,0.0016983,0.23446997,0.251035672222222,0.418773872727273
BANK1,4,101790607,102074812,536,53,8816,3.1143,0.00092204,0.00032586,0.017436,0.241851092,0.196003675,0.604665837735849
GTPBP2,6,43620481,43629246,9,5,8816,3.1093,0.00093778,0.0026615,0.00065948,0.242140787777778,0.367427078947368,0.327262494054054
AGPAT6,8,41578188,41625001,100,13,8816,3.1056,0.00094952,0.097926,4.6445e-05,0.242140787777778,0.728106110229976,0.21319416125
PPP1R36,14,64549902,64589386,92,21,8816,3.0952,0.0009834,0.00064115,0.0090667,0.24640462,0.223921055849057,0.476718327272727
ILDR1,3,121987323,122060516,140,34,8816,3.0891,0.0010037,0.00095714,0.0068133,0.24640462,0.249554748192771,0.463519502453988
OR7G2,19,9102269,9103306,4,2,8816,3.0883,0.0010065,0.00084349,0.0014684,0.24640462,0.24198937328125,0.418773872727273
SLC6A2,16,55655604,55706192,131,35,8816,3.078,0.001042,0.0044418,0.0017168,0.25173897368421,0.4458111,0.418773872727273
RPRML,17,46978156,46979248,1,1,8816,3.0682,0.0010767,0.001105,0.001105,0.256744009090909,0.249554748192771,0.368889181818182
EIF5A,17,7306999,7312463,12,6,8816,3.0484,0.0011502,0.0024133,0.0012765,0.26634125,0.3544848104,0.410020124137931
PRKCB,16,23835979,24220611,930,119,8816,3.0436,0.0011688,0.00038233,0.044803,0.26634125,0.196003675,0.761446466234968
MRPS18A,6,43671197,43687812,33,9,8816,3.0404,0.0011813,0.00071758,0.0049401,0.26634125,0.224200258135593,0.463519502453988
MZT2B,2,130181544,130204794,39,9,8816,3.0342,0.0012059,0.068368,0.00010905,0.26634125,0.683319949023861,0.237514835833333
ELANE,19,850997,856250,6,5,8816,3.0333,0.0012093,0.00059699,0.0062057,0.26634125,0.223921055849057,0.463519502453988
SPATA24,5,139395940,139404155,5,1,8816,3.033,0.0012106,0.0010836,0.0014695,0.26634125,0.249554748192771,0.418773872727273
HNF1A,12,120977787,121002512,79,17,8816,3.0272,0.001234,0.032555,0.00021176,0.26634125,0.622370035934292,0.260393406875
TRPC4,13,37633872,37869802,686,83,8816,3.0242,0.0012464,0.0082075,0.0017124,0.26634125,0.520499883959044,0.418773872727273
SLCO1A2,12,21264600,21403657,407,49,8816,3.024,0.0012475,0.0012206,0.016009,0.26634125,0.251035672222222,0.585686639442231
SKOR2,18,47206203,47249630,69,15,8816,3.0152,0.001284,0.0012107,0.0055397,0.270983034482759,0.251035672222222,0.463519502453988
LOC339862,3,17962572,18268922,461,51,8816,3.0112,0.001301,0.0012186,0.009721,0.271450693181818,0.251035672222222,0.48924810653951
AEN,15,88604681,88632281,84,21,8816,3.0062,0.0013226,0.00034387,0.014901,0.272206869230769,0.196003675,0.575994233684211
MCIDAS,5,55219597,55227315,13,6,8816,3.0006,0.0013474,0.0014373,0.0025323,0.272206869230769,0.278004867368421,0.463519502453988
PCDH1,5,141852319,141878813,35,17,8816,3.0002,0.0013491,0.0022113,0.0042928,0.272206869230769,0.3470229,0.463519502453988
TRIM35,8,27284886,27311319,34,10,8816,2.995,0.0013724,0.00063258,0.0080027,0.27389822173913,0.223921055849057,0.463519502453988
RAB12,18,8609445,8639383,75,13,8816,2.9894,0.0013979,0.0009941,0.010612,0.275987547311828,0.249554748192771,0.512035761154856
POLR1C,6,43517039,43550984,37,8,8816,2.9805,0.001439,0.0040932,0.0013424,0.279512402105263,0.437150999421965,0.417759430508475
EPHX1,1,225810074,225845563,108,36,8816,2.979,0.0014462,0.0015926,0.0073337,0.279512402105263,0.298384985714286,0.463519502453988
PRR4,12,10845849,10849476,7,4,8816,2.9742,0.0014688,0.00076369,0.00547,0.280790797938144,0.233701868166667,0.463519502453988
XPO5,6,43522330,43576075,62,12,8816,2.9712,0.0014834,0.0041121,0.0017337,0.280790797938144,0.437150999421965,0.418773872727273
SMARCA2,9,2015219,2193624,499,92,8816,2.9616,0.0015302,0.0082138,0.0025728,0.281933155,0.520499883959044,0.463519502453988
MRPS15,1,36455761,36464439,28,9,8816,2.9612,0.001532,0.0055734,0.0016159,0.281933155,0.48314196,0.418773872727273
HBEGF,5,140332843,140346603,22,9,8816,2.9605,0.0015355,0.0010945,0.0078843,0.281933155,0.249554748192771,0.463519502453988
NKX1-1,4,1402932,1406442,5,3,8816,2.9567,0.0015545,0.0012447,0.0021489,0.282489385294118,0.251142161538462,0.448363101136364
ZCCHC14,16,87406246,87492269,253,27,8816,2.9538,0.0015693,0.061866,0.00049331,0.282489385294118,0.676514929844098,0.307129454545455
KCNK2,1,215002639,215237093,559,52,8816,2.9466,0.0016062,0.019202,0.00070091,0.286324642718447,0.57727464811784,0.327450074
SYNPO,5,150586037,150659230,120,31,8816,2.9424,0.0016285,0.00056375,0.022434,0.287508543269231,0.223921055849057,0.63637429204893
PLEKHS1,10,113751262,113782433,74,16,8816,2.9307,0.0016909,0.0012228,0.0085619,0.294416902830189,0.251035672222222,0.470867301775148
DLG4,17,7189890,7220050,37,13,8816,2.9291,0.0016997,0.0010873,0.0066061,0.294416902830189,0.249554748192771,0.463519502453988
POLH,6,43576141,43620523,43,14,8816,2.9169,0.0017678,0.0067391,0.0025297,0.303351175700935,0.510421994736842,0.463519502453988
DHRS12,13,51767993,51804199,54,21,8816,2.9111,0.001801,0.0019206,0.007974,0.303529228440367,0.3172190625,0.463519502453988
ILKAP,2,238170401,238203702,116,16,8816,2.9109,0.0018019,0.0017336,0.0059662,0.303529228440367,0.300288958490566,0.463519502453988
C1orf43,1,154206701,154220797,13,6,8816,2.9059,0.0018308,0.00093969,0.011131,0.304679857017544,0.249554748192771,0.524041771794872
KCNJ3,2,154698581,154858352,394,66,8816,2.9018,0.0018551,0.036284,0.00059673,0.304679857017544,0.628502083486238,0.322251750882353
MRPL3,3,131462201,131503016,61,11,8816,2.8981,0.0018771,0.0011265,0.0086495,0.304679857017544,0.249554748192771,0.470867301775148
METTL5,2,169811757,169824931,43,12,8816,2.8968,0.0018847,0.022685,0.00042398,0.304679857017544,0.591983965517241,0.30222886037037
REP15,12,27696495,27697633,1,1,8816,2.8957,0.0018917,0.001935,0.001935,0.304679857017544,0.3172190625,0.430835464705882
KIAA1804,1,233327743,233385148,185,24,8816,2.8863,0.0019491,0.0042071,0.0027401,0.3067491,0.437422616759777,0.463519502453988
MAD2L1BP,6,43629542,43640952,16,6,8816,2.8816,0.0019786,0.0064066,0.0015117,0.3067491,0.501481882553191,0.418773872727273
MACROD2,20,13995500,16053197,5138,272,8816,2.881,0.0019823,0.015242,0.013731,0.3067491,0.546362860153257,0.559013062084257
C8orf34,8,68330722,68819023,1108,84,8816,2.877,0.0020077,0.0018433,0.018366,0.3067491,0.313378067592593,0.612806428070175
LOC105374861,2,39148212,39150198,9,4,8816,2.8768,0.0020089,0.0056574,0.0015258,0.3067491,0.48314196,0.418773872727273
RETSAT,2,85341955,85354698,20,9,8816,2.8752,0.0020188,0.0098212,0.00082715,0.3067491,0.530089828169014,0.327450074
FOXE3,1,47416072,47418052,4,3,8816,2.8739,0.0020273,0.00095552,0.0071592,0.3067491,0.249554748192771,0.463519502453988
PROB1,5,139391946,139395196,3,3,8816,2.8722,0.0020382,0.00068737,0.0072932,0.3067491,0.224200258135593,0.463519502453988
TANGO6,16,68843553,69085182,405,48,8816,2.8535,0.0021622,0.00082364,0.031075,0.318154669677419,0.240045302222222,0.674566256321839
LOC644215,10,97401237,97426151,49,11,8816,2.8512,0.002178,0.0019701,0.0055363,0.318154669677419,0.317532557017544,0.463519502453988
TTC17,11,43358885,43494933,240,33,8816,2.8507,0.0021811,0.077727,0.00022383,0.318154669677419,0.700963994613124,0.260393406875
HSD17B12,11,43680593,43856619,307,29,8816,2.8428,0.0022357,0.0022351,0.0094559,0.318154669677419,0.347785348305085,0.484971452234637
STAC2,17,39210536,39225787,21,11,8816,2.8409,0.0022495,0.0014814,0.010119,0.318154669677419,0.28333318125,0.497211973404255
SALL1,16,51135975,51152316,13,7,8816,2.8375,0.0022735,0.027516,0.00044054,0.318154669677419,0.605656202797203,0.30222886037037
UTS2B,3,191267155,191330536,253,31,8816,2.8355,0.0022879,0.0023051,0.0099044,0.318154669677419,0.349784637190083,0.492831133875339
NIM1K,5,43192054,43280850,163,34,8816,2.8339,0.0022989,0.0030703,0.007498,0.318154669677419,0.398045791549296,0.463519502453988
DSCC1,8,119833941,119855930,68,14,8816,2.8318,0.0023144,0.0059039,0.0047737,0.318154669677419,0.493869546396396,0.463519502453988
LYVE1,11,10557866,10568818,17,8,8816,2.8299,0.0023284,0.0029248,0.0042117,0.318154669677419,0.394869505882353,0.463519502453988
LOC105378283,10,45180356,45194262,28,4,8816,2.8276,0.0023447,0.0016433,0.0089525,0.318154669677419,0.300288958490566,0.476454644927536
TESC,12,117038923,117099446,179,29,8816,2.8241,0.0023706,0.0018814,0.012694,0.318154669677419,0.314039867272727,0.548946820512821
IP6K3,6,33721637,33746985,96,21,8816,2.824,0.0023714,0.0033053,0.0095032,0.318154669677419,0.41036835,0.486039708077994
CCDC150,2,196639632,196732806,125,18,8816,2.8206,0.0023964,0.0034886,0.0080073,0.318154669677419,0.415936263636364,0.463519502453988
FAM228B,2,24076874,24169638,246,23,8816,2.8153,0.0024363,0.043861,0.00092673,0.318154669677419,0.639358850118953,0.333640971176471
YIPF3,6,43511827,43516990,8,4,8816,2.8149,0.0024393,0.0097249,0.0012952,0.318154669677419,0.527415662831858,0.410020124137931
ST8SIA5,18,46679118,46757169,242,52,8816,2.8097,0.0024796,0.0070581,0.0040176,0.318154669677419,0.510421994736842,0.463519502453988
IDUA,4,986997,1004557,54,22,8816,2.8086,0.002488,0.00061988,0.034361,0.318154669677419,0.223921055849057,0.695614977973568
ZFPM2,8,105246436,105804539,1082,102,8816,2.8077,0.0024952,0.0075793,0.0091392,0.318154669677419,0.516679890073529,0.476718327272727
RNF34,12,121400083,121424352,57,8,8816,2.8071,0.0024994,0.0059326,0.0079261,0.318154669677419,0.493869546396396,0.463519502453988
THBS3,1,155195584,155209180,11,4,8816,2.8046,0.002519,0.0017841,0.0057455,0.318154669677419,0.306148225233645,0.463519502453988
TTLL2,6,167325086,167342689,31,12,8816,2.8042,0.0025219,0.0054359,0.0026867,0.318154669677419,0.482308876811594,0.463519502453988
UBXN6,19,4445006,4457794,32,9,8816,2.8013,0.0025448,0.0077577,0.0022038,0.318154669677419,0.516706379783394,0.454651368539326
WARSP1,11,59255468,59258657,11,5,8816,2.8,0.0025553,0.015229,0.00077063,0.318154669677419,0.546362860153257,0.327450074
BLOC1S3,19,45178745,45217078,131,35,8816,2.7983,0.002569,0.0016397,0.020948,0.318154669677419,0.300288958490566,0.627403715909091
GLTSCR1L,6,42782052,42868560,106,20,8816,2.7961,0.002586,0.006646,0.0089372,0.318154669677419,0.510421994736842,0.476454644927536
NEGR1,1,71402942,72282847,1449,122,8816,2.7957,0.0025895,0.014004,0.0067542,0.318154669677419,0.542908116935484,0.463519502453988
FUT5,19,5865826,5870540,13,9,8816,2.7931,0.00261,0.00038561,0.031423,0.318154669677419,0.196003675,0.674566256321839
POLR2K,8,100150611,100154002,4,3,8816,2.7902,0.0026342,0.0018811,0.0053453,0.318154669677419,0.314039867272727,0.463519502453988
LOC105370380,13,113817492,113820631,11,6,8816,2.7864,0.0026647,0.0025098,0.0049827,0.318154669677419,0.3600190453125,0.463519502453988
OR13C3,9,104535770,104536813,3,2,8816,2.785,0.0026766,0.0015118,0.0059402,0.318154669677419,0.286166595876289,0.463519502453988
DNAH9,17,11598431,11970168,771,109,8816,2.7848,0.0026778,0.0032813,0.016184,0.318154669677419,0.41036835,0.586501765285996
ZNF559,19,9323772,9343845,44,10,8816,2.7839,0.0026858,0.005965,0.0057515,0.318154669677419,0.493869546396396,0.463519502453988
SLCO6A1,5,102371782,102499656,319,23,8816,2.7799,0.0027185,0.0040206,0.010085,0.31996396474359,0.436817968047337,0.497211973404255
CLOCK,4,55427901,55546909,353,23,8816,2.7744,0.0027653,0.0020265,0.021049,0.321619643037975,0.323552752173913,0.627403715909091
STXBP5,6,147204358,147390476,205,24,8816,2.7741,0.0027676,0.00077879,0.065211,0.321619643037975,0.23441579,0.835547223307746
GTF3A,13,27424544,27435709,33,10,8816,2.7704,0.002799,0.0011281,0.019502,0.323222886792453,0.249554748192771,0.619753416526138
PMVK,1,154924732,154937310,18,6,8816,2.7622,0.002871,0.0026052,0.018055,0.32946519375,0.362379372727273,0.610258998165138
SLC23A1,5,139367196,139384553,15,5,8816,2.7519,0.0029628,0.0026986,0.0061339,0.337193047560976,0.369341715555556,0.463519502453988
MYO10,5,16661907,16936276,776,127,8816,2.7487,0.0029914,0.020404,0.0033225,0.337193047560976,0.58206350385208,0.463519502453988
EFNA1,1,155127873,155134910,7,4,8816,2.7478,0.0029999,0.0088294,0.0017476,0.337193047560976,0.527415662831858,0.418773872727273
HS3ST1,4,11398364,11429567,71,30,8816,2.7465,0.0030118,0.0056461,0.007755,0.337193047560976,0.48314196,0.463519502453988
MUC1,1,155185824,155192915,1,1,8816,2.7425,0.0030485,0.00312,0.00312,0.339233384848485,0.400603636363636,0.463519502453988
IL6R,1,154405193,154469450,130,26,8816,2.735,0.0031191,0.011482,0.0052903,0.3414162375,0.538125032183908,0.463519502453988
PTPRK,6,127968779,128520847,671,82,8816,2.735,0.0031193,0.024636,0.0054729,0.3414162375,0.591983965517241,0.463519502453988
NDRG2,14,21016763,21070872,128,46,8816,2.7345,0.0031239,0.0010902,0.038185,0.3414162375,0.249554748192771,0.716154019407559
RYR1,19,38433700,38587564,413,57,8816,2.7254,0.0032115,0.011573,0.0058509,0.348913322485207,0.538125032183908,0.463519502453988
LAPTM4A,2,20032650,20052028,43,13,8816,2.7198,0.0032662,0.0050555,0.0037374,0.352768812941176,0.465587694059406,0.463519502453988
INPP5D,2,233059967,233207903,511,72,8816,2.7132,0.0033319,0.0014384,0.057391,0.357760326900585,0.278004867368421,0.80887277486911
LOC105375112,7,31567,37465,3,3,8816,2.7004,0.0034623,0.0019715,0.0074659,0.36895118,0.317532557017544,0.463519502453988
RANBP17,5,170861882,171300450,652,33,8816,2.6974,0.0034938,0.0037225,0.020588,0.36895118,0.427180140625,0.627403715909091
RBPJ,4,26163494,26435131,370,65,8816,2.6958,0.0035113,0.001217,0.064292,0.36895118,0.251035672222222,0.832571926863572
GPD1L,3,32106511,32168715,193,24,8816,2.6953,0.0035165,0.0038111,0.010174,0.36895118,0.431872975757576,0.497211973404255
SCUBE1,22,43203223,43343388,457,87,8816,2.6918,0.0035534,0.0051222,0.019308,0.370704417045455,0.465587694059406,0.619753416526138
ESRRB,14,76371299,76501839,358,70,8816,2.6885,0.0035888,0.0038686,0.018687,0.37228224180791,0.431872975757576,0.612806428070175
DCLRE1A,10,113834724,113854404,9,6,8816,2.6843,0.0036345,0.035247,0.0007517,0.374904800561798,0.627711122211445,0.327450074
UVSSA,4,1345658,1388049,141,25,8816,2.6741,0.003747,0.0017168,0.027185,0.381160389673913,0.300288958490566,0.658736550518135
MGST3,1,165630873,165656136,80,23,8816,2.6728,0.0037606,0.010601,0.005208,0.381160389673913,0.532069847826087,0.463519502453988
PDS5A,4,39822863,39977956,317,34,8816,2.6719,0.0037715,0.013866,0.0059306,0.381160389673913,0.542908116935484,0.463519502453988
BOK,2,241558064,241574138,40,17,8816,2.6685,0.0038096,0.00061357,0.05571,0.381160389673913,0.223921055849057,0.803322172600619
KRT83,12,52314301,52321398,47,6,8816,2.6682,0.0038135,0.0056017,0.0065323,0.381160389673913,0.48314196,0.463519502453988
ZBTB1,14,64503950,64533690,68,9,8816,2.6676,0.0038197,0.013335,0.0057265,0.381160389673913,0.542683066225165,0.463519502453988
AK2,1,33007940,33036911,35,10,8816,2.6648,0.0038514,0.0033525,0.02046,0.381825340909091,0.41036835,0.62662640765391
KCTD9,8,25427842,25458468,63,7,8816,2.6631,0.0038717,0.0024832,0.018798,0.381825340909091,0.359008151181102,0.612806428070175
AGFG2,7,100539211,100568220,26,7,8816,2.6609,0.0038967,0.006415,0.0093252,0.381825340909091,0.501481882553191,0.480955048314607
TTLL6,17,48762231,48817107,134,22,8816,2.6576,0.0039355,0.005218,0.015699,0.381825340909091,0.470374618137255,0.585686639442231
MDN1,6,89642775,89827961,331,34,8816,2.655,0.0039658,0.0074708,0.0068913,0.381825340909091,0.513750407490637,0.463519502453988
DNAJC13,3,132417532,132539032,216,33,8816,2.6546,0.0039704,0.0033245,0.023805,0.381825340909091,0.41036835,0.6423657771261
FOXD2,1,47436017,47440691,7,5,8816,2.6524,0.0039966,0.0051117,0.0052868,0.381825340909091,0.465587694059406,0.463519502453988
PRB4,12,11307081,11310435,7,3,8816,2.6496,0.0040293,0.029858,0.00084885,0.381825340909091,0.611543974808324,0.327450074
PRELID1,5,177303762,177306959,6,4,8816,2.6488,0.0040391,0.0035935,0.0073016,0.381825340909091,0.422326095597484,0.463519502453988
IL17REL,22,49994513,50013198,49,13,8816,2.6479,0.0040498,0.008306,0.0054184,0.381825340909091,0.520499883959044,0.463519502453988
ZNF131,5,43120888,43176324,194,19,8816,2.644,0.004097,0.018194,0.0048648,0.381825340909091,0.573765583617747,0.463519502453988
LRRC20,10,70298970,70382650,259,43,8816,2.6415,0.0041267,0.012939,0.0042699,0.381825340909091,0.539938588636364,0.463519502453988
TMEM92,17,50271406,50281485,24,13,8816,2.6396,0.0041502,0.10367,0.00035142,0.381825340909091,0.732815757692308,0.30222886037037
ATAD2B,2,23685229,23927114,534,35,8816,2.6394,0.0041529,0.0059713,0.0096943,0.381825340909091,0.493869546396396,0.48924810653951
ANKDD1B,5,75611218,75671846,127,23,8816,2.6374,0.0041777,0.013715,0.0040546,0.381825340909091,0.542908116935484,0.463519502453988
LOC105372715,20,49608935,49633617,47,11,8816,2.6372,0.0041799,0.002305,0.024491,0.381825340909091,0.349784637190083,0.64331795565093
ANGPT1,8,107249482,107498026,655,72,8816,2.6345,0.0042128,0.0089974,0.0078652,0.381825340909091,0.527415662831858,0.463519502453988
