VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_PHOSPHATIDYLINOSITOL_5_PH...,SET,13,0.72527,0.019292,0.2295,0.00078972,GO_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING,0.50866147826087
GO_HISTONE_DEACETYLASE_BINDI...,SET,101,0.26265,0.019426,0.083163,0.00079495,GO_HISTONE_DEACETYLASE_BINDING,0.50866147826087
GO_CORNEA_DEVELOPMENT_IN_CAM...,SET,9,1.065,0.023572,0.33807,0.00081752,GO_CORNEA_DEVELOPMENT_IN_CAMERA_TYPE_EYE,0.50866147826087
GO_DNA_BINDING_TRANSCRIPTION...4,SET,221,0.18417,0.020083,0.058615,0.00084026,GO_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,0.50866147826087
REACTOME_ATF6_ATF6_ALPHA_ACT...1,SET,11,0.71905,0.017594,0.22937,0.00086101,REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,0.50866147826087
GO_PROTEIN_PHOSPHATASE_2B_BI...,SET,7,0.90899,0.017745,0.29067,0.00088359,GO_PROTEIN_PHOSPHATASE_2B_BINDING,0.50866147826087
GO_ESC_E_Z_COMPLEX,SET,14,0.65804,0.018164,0.21198,0.00095514,GO_ESC_E_Z_COMPLEX,0.50866147826087
GO_AXON_CHOICE_POINT_RECOGNI...,SET,7,1.2237,0.023888,0.39442,0.000961,GO_AXON_CHOICE_POINT_RECOGNITION,0.50866147826087
GO_AMINOGLYCAN_METABOLIC_PRO...,SET,125,0.23581,0.01939,0.076588,0.0010403,GO_AMINOGLYCAN_METABOLIC_PROCESS,0.527692175
KEGG_PPAR_SIGNALING_PATHWAY,SET,67,0.32187,0.019408,0.10616,0.0012163,KEGG_PPAR_SIGNALING_PATHWAY,0.5673084
GO_TRNA_5_END_PROCESSING,SET,14,0.59459,0.016412,0.19734,0.001295,GO_TRNA_5_END_PROCESSING,0.5673084
GO_GDP_METABOLIC_PROCESS,SET,6,1.0379,0.018758,0.34512,0.0013202,GO_GDP_METABOLIC_PROCESS,0.5673084
GO_REGULATION_OF_T_HELPER_17...1,SET,6,1.3555,0.0245,0.45559,0.0014656,GO_REGULATION_OF_T_HELPER_17_CELL_LINEAGE_COMMITMENT,0.5673084
GO_NUCLEAR_LOCALIZATION_SEQU...,SET,23,0.49754,0.017598,0.1673,0.0014723,GO_NUCLEAR_LOCALIZATION_SEQUENCE_BINDING,0.5673084
REACTOME_UNWINDING_OF_DNA,SET,12,0.68463,0.017497,0.23054,0.0014927,REACTOME_UNWINDING_OF_DNA,0.5673084
REACTOME_DEFECTIVE_B4GALT1_C...,SET,8,0.87794,0.018322,0.29569,0.0014953,REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D,0.5673084
GO_INTRINSIC_COMPONENT_OF_PR...2,SET,81,0.29974,0.019865,0.10119,0.00153,GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE,0.5673084
GO_POSITIVE_REGULATION_OF_PR...20,SET,9,0.76791,0.016997,0.26012,0.00158,GO_POSITIVE_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION,0.5673084
GO_CELL_CYCLE,SET,1647,0.062095,0.017744,0.021078,0.0016121,GO_CELL_CYCLE,0.5673084
GO_TRANSFERASE_ACTIVITY_TRAN...11,SET,65,0.32943,0.019566,0.11196,0.001631,GO_TRANSFERASE_ACTIVITY_TRANSFERRING_SULFUR_CONTAINING_GROUPS,0.5673084
GO_D1_DOPAMINE_RECEPTOR_BIND...,SET,9,0.7121,0.015762,0.24316,0.0017055,GO_D1_DOPAMINE_RECEPTOR_BINDING,0.569874810810811
GO_IRES_DEPENDENT_VIRAL_TRAN...,SET,9,0.79604,0.01762,0.27227,0.001732,GO_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION,0.569874810810811
GO_CYTOPLASMIC_STRESS_GRANULE,SET,52,0.32266,0.017147,0.11148,0.0019031,GO_CYTOPLASMIC_STRESS_GRANULE,0.609693142105263
GO_TRNA_PROCESSING,SET,118,0.20471,0.016358,0.071425,0.0020807,GO_TRNA_PROCESSING,0.633938780487805
BIOCARTA_ION_PATHWAY,SET,5,1.0342,0.017064,0.36187,0.0021342,BIOCARTA_ION_PATHWAY,0.633938780487805
GO_SMALL_RIBOSOMAL_SUBUNIT_R...,SET,10,0.75797,0.017684,0.26522,0.002135,GO_SMALL_RIBOSOMAL_SUBUNIT_RRNA_BINDING,0.633938780487805
GO_PHOSPHATIDYLSERINE_EXPOSU...,SET,5,0.93833,0.015482,0.33048,0.0022633,GO_PHOSPHATIDYLSERINE_EXPOSURE_ON_APOPTOTIC_CELL_SURFACE,0.649033859016393
REACTOME_NOD1_2_SIGNALING_PA...,SET,31,0.41032,0.016846,0.14506,0.0023394,REACTOME_NOD1_2_SIGNALING_PATHWAY,0.649033859016393
GO_ERK1_AND_ERK2_CASCADE,SET,277,0.15265,0.018607,0.054053,0.0023739,GO_ERK1_AND_ERK2_CASCADE,0.649033859016393
REACTOME_GLYCOSAMINOGLYCAN_M...,SET,118,0.2202,0.017596,0.078467,0.0025082,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,0.649033859016393
GO_REGULATION_OF_NEURONAL_SY...,SET,48,0.34585,0.01766,0.12348,0.0025509,GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY,0.649033859016393
GO_RIBONUCLEASE_P_ACTIVITY,SET,10,0.69051,0.01611,0.24743,0.0026322,GO_RIBONUCLEASE_P_ACTIVITY,0.649033859016393
GO_DOUBLE_STRANDED_DNA_BINDI...,SET,883,0.082247,0.017597,0.029494,0.0026494,GO_DOUBLE_STRANDED_DNA_BINDING,0.649033859016393
GO_GUANYLATE_KINASE_ACTIVITY,SET,7,0.86411,0.016869,0.31089,0.0027251,GO_GUANYLATE_KINASE_ACTIVITY,0.649033859016393
GO_ATF6_MEDIATED_UNFOLDED_PR...,SET,9,0.73619,0.016295,0.26493,0.0027305,GO_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,0.649033859016393
GO_POSITIVE_REGULATION_OF_NK...,SET,8,0.95747,0.019981,0.34496,0.0027583,GO_POSITIVE_REGULATION_OF_NK_T_CELL_ACTIVATION,0.649033859016393
KEGG_PROSTATE_CANCER,SET,86,0.24957,0.01704,0.090117,0.0028111,KEGG_PROSTATE_CANCER,0.649033859016393
GO_RESPONSE_TO_POTASSIUM_ION,SET,15,0.60053,0.017158,0.21811,0.0029525,GO_RESPONSE_TO_POTASSIUM_ION,0.649033859016393
GO_RRNA_BINDING,SET,54,0.29944,0.016215,0.10888,0.0029801,GO_RRNA_BINDING,0.649033859016393
GO_REGULATION_OF_TAU_PROTEIN...,SET,9,0.78918,0.017468,0.28823,0.0030932,GO_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY,0.649033859016393
REACTOME_EGFR_INTERACTS_WITH...,SET,9,0.84303,0.01866,0.30843,0.0031386,REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA,0.649033859016393
REACTOME_ATF6_ATF6_ALPHA_ACT...2,SET,10,0.65097,0.015188,0.23817,0.0031388,REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,0.649033859016393
REACTOME_CYTOSOLIC_SENSORS_O...,SET,57,0.29327,0.016315,0.10752,0.0031921,REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,0.649033859016393
GO_ACTIN_FILAMENT_BUNDLE,SET,61,0.30208,0.017383,0.11075,0.0031943,GO_ACTIN_FILAMENT_BUNDLE,0.649033859016393
GO_AXON_MIDLINE_CHOICE_POINT...,SET,5,1.3035,0.021507,0.47884,0.0032464,GO_AXON_MIDLINE_CHOICE_POINT_RECOGNITION,0.649033859016393
GO_SIGNAL_SEQUENCE_BINDING,SET,42,0.32769,0.015655,0.12041,0.0032521,GO_SIGNAL_SEQUENCE_BINDING,0.649033859016393
GO_SEQUENCE_SPECIFIC_DOUBLE_...,SET,802,0.08465,0.017301,0.031351,0.0034692,GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING,0.668131254545455
GO_COENZYME_TRANSPORT,SET,8,0.6786,0.014162,0.25229,0.0035783,GO_COENZYME_TRANSPORT,0.668131254545455
GO_REPLICATION_FORK_PROCESSI...,SET,26,0.44769,0.016835,0.16654,0.003596,GO_REPLICATION_FORK_PROCESSING,0.668131254545455
GO_POSITIVE_REGULATION_OF_HE...9,SET,7,0.78649,0.015354,0.29266,0.0036037,GO_POSITIVE_REGULATION_OF_HEPATOCYTE_PROLIFERATION,0.668131254545455
GO_CATALYTIC_ACTIVITY_ACTING...3,SET,113,0.18872,0.014759,0.070268,0.0036222,GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA,0.668131254545455
GO_PEPTIDYL_ASPARTIC_ACID_MO...,SET,5,0.91483,0.015094,0.34162,0.0037074,GO_PEPTIDYL_ASPARTIC_ACID_MODIFICATION,0.668617252173913
GO_INTERLEUKIN_12_RECEPTOR_B...,SET,6,1.1207,0.020255,0.41942,0.0037736,GO_INTERLEUKIN_12_RECEPTOR_BINDING,0.668617252173913
GO_POSITIVE_REGULATION_OF_CI...1,SET,24,0.46149,0.016674,0.17281,0.0037896,GO_POSITIVE_REGULATION_OF_CILIUM_ASSEMBLY,0.668617252173913
GO_CONNEXIN_BINDING,SET,5,1.1199,0.018478,0.42499,0.0042087,GO_CONNEXIN_BINDING,0.731953054285714
GO_INTRINSIC_COMPONENT_OF_SY...1,SET,157,0.19261,0.017734,0.073269,0.0042882,GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE,0.735275307042254
GO_RDNA_HETEROCHROMATIN,SET,3,1.0528,0.013457,0.40197,0.0044103,GO_RDNA_HETEROCHROMATIN,0.743914783561644
REACTOME_RNA_POLYMERASE_III_...5,SET,21,0.43769,0.014794,0.16736,0.0044608,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION,0.743914783561644
GO_ACTIN_POLYMERIZATION_DEPE...,SET,6,0.87844,0.015877,0.33809,0.0046885,GO_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY,0.747135771428571
GO_HEPARIN_BIOSYNTHETIC_PROC...,SET,8,0.7287,0.015207,0.28143,0.0048127,GO_HEPARIN_BIOSYNTHETIC_PROCESS,0.747135771428571
GO_POSITIVE_REGULATION_OF_MH...2,SET,5,1.1101,0.018316,0.42916,0.0048501,GO_POSITIVE_REGULATION_OF_MHC_CLASS_I_BIOSYNTHETIC_PROCESS,0.747135771428571
GO_VESICLE_FUSION_WITH_GOLGI...,SET,6,0.84987,0.015361,0.32902,0.0049003,GO_VESICLE_FUSION_WITH_GOLGI_APPARATUS,0.747135771428571
GO_DNA_REPLICATION_PREINITIA...,SET,5,0.88719,0.014638,0.34604,0.0051807,GO_DNA_REPLICATION_PREINITIATION_COMPLEX,0.747135771428571
GO_AUDITORY_RECEPTOR_CELL_FA...,SET,6,0.98213,0.017751,0.38323,0.0051966,GO_AUDITORY_RECEPTOR_CELL_FATE_COMMITMENT,0.747135771428571
GO_CELLULAR_RESPONSE_TO_DEXA...,SET,31,0.41241,0.016932,0.16175,0.0053948,GO_CELLULAR_RESPONSE_TO_DEXAMETHASONE_STIMULUS,0.747135771428571
GO_PURINE_NUCLEOSIDE_DIPHOSP...2,SET,9,0.69778,0.015445,0.2741,0.0054573,GO_PURINE_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,0.747135771428571
GO_REGULATION_OF_LONG_TERM_N...,SET,25,0.43174,0.01592,0.16965,0.0054708,GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY,0.747135771428571
GO_NEGATIVE_REGULATION_OF_GE...1,SET,104,0.20653,0.015499,0.081354,0.005569,GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,0.747135771428571
GO_PROTEIN_XYLOSYLTRANSFERAS...,SET,3,0.82698,0.01057,0.32665,0.0056792,GO_PROTEIN_XYLOSYLTRANSFERASE_ACTIVITY,0.747135771428571
REACTOME_RECRUITMENT_OF_NUMA...,SET,88,0.21727,0.015006,0.085906,0.0057201,REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,0.747135771428571
REACTOME_UNFOLDED_PROTEIN_RE...,SET,85,0.21452,0.014562,0.084903,0.0057629,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.747135771428571
GO_MACROMOLECULE_METHYLATION,SET,261,0.12301,0.014561,0.048849,0.0059026,GO_MACROMOLECULE_METHYLATION,0.747135771428571
GO_ISOPRENOID_BINDING,SET,34,0.4164,0.017902,0.16539,0.0059105,GO_ISOPRENOID_BINDING,0.747135771428571
GO_POSITIVE_REGULATION_OF_ER...3,SET,186,0.16751,0.016775,0.066567,0.0059309,GO_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,0.747135771428571
GO_NCRNA_PROCESSING,SET,325,0.10851,0.014308,0.043131,0.0059414,GO_NCRNA_PROCESSING,0.747135771428571
GO_DENSE_CORE_GRANULE,SET,19,0.51977,0.016712,0.20687,0.0059969,GO_DENSE_CORE_GRANULE,0.747135771428571
GO_SEQUENCE_SPECIFIC_DNA_BIN...,SET,1029,0.069919,0.016082,0.027851,0.0060335,GO_SEQUENCE_SPECIFIC_DNA_BINDING,0.747135771428571
REACTOME_KERATAN_SULFATE_BIO...,SET,28,0.40471,0.015792,0.16149,0.0061085,REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,0.747135771428571
GO_KERATAN_SULFATE_BIOSYNTHE...,SET,28,0.40471,0.015792,0.16149,0.0061085,GO_KERATAN_SULFATE_BIOSYNTHETIC_PROCESS,0.747135771428571
GO_NEGATIVE_REGULATION_OF_TR...7,SET,17,0.58916,0.017919,0.23528,0.006144,GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,0.747135771428571
GO_DNA_INSERTION_OR_DELETION...,SET,8,0.53851,0.011238,0.216,0.0063356,GO_DNA_INSERTION_OR_DELETION_BINDING,0.747135771428571
GO_NEGATIVE_REGULATION_OF_ME...7,SET,7,0.80698,0.015754,0.32385,0.0063582,GO_NEGATIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,0.747135771428571
PID_ERBB_NETWORK_PATHWAY,SET,15,0.53327,0.015236,0.21479,0.0065232,PID_ERBB_NETWORK_PATHWAY,0.747135771428571
GO_T_CELL_DIFFERENTIATION_IN...2,SET,64,0.26528,0.015635,0.10712,0.0066382,GO_T_CELL_DIFFERENTIATION_IN_THYMUS,0.747135771428571
GO_MHC_CLASS_II_BIOSYNTHETIC...,SET,12,0.57904,0.014798,0.23419,0.0067132,GO_MHC_CLASS_II_BIOSYNTHETIC_PROCESS,0.747135771428571
GO_ANCHORED_COMPONENT_OF_PLA...,SET,54,0.30407,0.016466,0.12302,0.006727,GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE,0.747135771428571
KEGG_PRION_DISEASES,SET,33,0.39488,0.016726,0.15999,0.0067943,KEGG_PRION_DISEASES,0.747135771428571
REACTOME_EGFR_DOWNREGULATION,SET,29,0.40604,0.016124,0.16466,0.0068396,REACTOME_EGFR_DOWNREGULATION,0.747135771428571
GO_CATALYTIC_ACTIVITY_ACTING...5,SET,317,0.10618,0.01383,0.043158,0.0069476,GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA,0.747135771428571
GO_NEUROENDOCRINE_CELL_DIFFE...,SET,8,0.9047,0.01888,0.36778,0.0069533,GO_NEUROENDOCRINE_CELL_DIFFERENTIATION,0.747135771428571
GO_MYELOID_LEUKOCYTE_DIFFERE...,SET,186,0.16472,0.016494,0.066964,0.0069556,GO_MYELOID_LEUKOCYTE_DIFFERENTIATION,0.747135771428571
GO_NEGATIVE_REGULATION_OF_NI...3,SET,6,0.92434,0.016707,0.37686,0.0070939,GO_NEGATIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY,0.747135771428571
GO_SULFATION,SET,16,0.59154,0.017454,0.24128,0.0071141,GO_SULFATION,0.747135771428571
GO_2_OXOGLUTARATE_DEPENDENT_...,SET,43,0.27992,0.01353,0.11418,0.0071164,GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY,0.747135771428571
GO_RESPONSE_TO_LEUKEMIA_INHI...,SET,92,0.22073,0.015585,0.090151,0.0071795,GO_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR,0.747135771428571
REACTOME_RHO_GTPASES_ACTIVAT...5,SET,21,0.47156,0.015939,0.19281,0.0072321,REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,0.747135771428571
GO_REGULATION_OF_METALLOPEPT...,SET,12,0.56967,0.014559,0.23302,0.0072519,GO_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,0.747135771428571
GO_INTERMEDIATE_FILAMENT_CYT...,SET,206,0.17414,0.018341,0.071377,0.0073553,GO_INTERMEDIATE_FILAMENT_CYTOSKELETON,0.747135771428571
GO_DEOXYRIBONUCLEOSIDE_TRIPH...2,SET,8,0.74214,0.015488,0.30443,0.0073938,GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS,0.747135771428571
GO_GOLGI_APPARATUS_PART,SET,870,0.071056,0.015096,0.02922,0.0075179,GO_GOLGI_APPARATUS_PART,0.747135771428571
GO_NEGATIVE_REGULATION_OF_AM...5,SET,13,0.63027,0.016765,0.26013,0.0077028,GO_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,0.747135771428571
GO_CHROMATIN_SILENCING_AT_RD...,SET,29,0.35832,0.014229,0.14803,0.0077538,GO_CHROMATIN_SILENCING_AT_RDNA,0.747135771428571
REACTOME_RHO_GTPASE_EFFECTORS,SET,279,0.12175,0.014894,0.050305,0.0077593,REACTOME_RHO_GTPASE_EFFECTORS,0.747135771428571
GO_REGULATION_OF_ERYTHROCYTE...,SET,43,0.32243,0.015585,0.13353,0.0078803,GO_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,0.747135771428571
PID_VEGFR1_PATHWAY,SET,26,0.37722,0.014185,0.15636,0.0079266,PID_VEGFR1_PATHWAY,0.747135771428571
GO_PROTEIN_TAG,SET,10,0.66114,0.015425,0.27431,0.0079759,GO_PROTEIN_TAG,0.747135771428571
PID_INTEGRIN2_PATHWAY,SET,26,0.43013,0.016175,0.17854,0.0080001,PID_INTEGRIN2_PATHWAY,0.747135771428571
GO_EMBRYONIC_CAMERA_TYPE_EYE...1,SET,37,0.35512,0.015925,0.1476,0.0080699,GO_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT,0.747135771428571
GO_N_METHYLTRANSFERASE_ACTIV...,SET,78,0.21638,0.014073,0.089958,0.0080842,GO_N_METHYLTRANSFERASE_ACTIVITY,0.747135771428571
GO_ADP_TRANSPORT,SET,4,0.95052,0.014028,0.39563,0.0081465,GO_ADP_TRANSPORT,0.747135771428571
GO_ADP_TRANSMEMBRANE_TRANSPO...,SET,4,0.95052,0.014028,0.39563,0.0081465,GO_ADP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.747135771428571
GO_NEGATIVE_REGULATION_OF_ME...11,SET,4,1.146,0.016913,0.47776,0.0082329,GO_NEGATIVE_REGULATION_OF_METALLOENDOPEPTIDASE_ACTIVITY,0.747135771428571
REACTOME_SYNTHESIS_OF_BILE_A...3,SET,15,0.62524,0.017863,0.26069,0.0082395,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,0.747135771428571
GO_AMYLOID_BETA_CLEARANCE,SET,30,0.36848,0.014882,0.15379,0.0082937,GO_AMYLOID_BETA_CLEARANCE,0.747135771428571
GO_MAIN_AXON,SET,67,0.26966,0.01626,0.11269,0.0083628,GO_MAIN_AXON,0.747135771428571
GO_SEBACEOUS_GLAND_DEVELOPME...,SET,8,0.72015,0.015029,0.30096,0.0083649,GO_SEBACEOUS_GLAND_DEVELOPMENT,0.747135771428571
GO_COMPLEMENT_COMPONENT_C3B_...,SET,4,1.1205,0.016536,0.46841,0.0083805,GO_COMPLEMENT_COMPONENT_C3B_BINDING,0.747135771428571
GO_REGULATION_OF_MONOCYTE_DI...,SET,19,0.50205,0.016142,0.21035,0.0085033,GO_REGULATION_OF_MONOCYTE_DIFFERENTIATION,0.747135771428571
GO_FEMALE_MEIOSIS_CHROMOSOME...,SET,6,0.722,0.01305,0.30288,0.0085734,GO_FEMALE_MEIOSIS_CHROMOSOME_SEGREGATION,0.747135771428571
GO_MULTIMERIC_RIBONUCLEASE_P...,SET,9,0.65885,0.014583,0.27644,0.0085841,GO_MULTIMERIC_RIBONUCLEASE_P_COMPLEX,0.747135771428571
GO_MHC_CLASS_I_PEPTIDE_LOADI...,SET,5,0.81935,0.013519,0.34404,0.0086251,GO_MHC_CLASS_I_PEPTIDE_LOADING_COMPLEX,0.747135771428571
GO_REGULATION_OF_SUPEROXIDE_...1,SET,21,0.46526,0.015726,0.19585,0.008767,GO_REGULATION_OF_SUPEROXIDE_ANION_GENERATION,0.747135771428571
GO_REGULATION_OF_INTRINSIC_A...4,SET,17,0.43732,0.013301,0.18431,0.0088323,GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR,0.747135771428571
GO_NEGATIVE_REGULATION_OF_CY...6,SET,27,0.4143,0.015876,0.17466,0.0088492,GO_NEGATIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,0.747135771428571
REACTOME_DNA_STRAND_ELONGATI...,SET,31,0.32679,0.013416,0.13822,0.0090392,REACTOME_DNA_STRAND_ELONGATION,0.747135771428571
REACTOME_IRAK1_RECRUITS_IKK_...,SET,11,0.60587,0.014825,0.25646,0.0090825,REACTOME_IRAK1_RECRUITS_IKK_COMPLEX,0.747135771428571
GO_PHOSPHOLIPID_DEPHOSPHORYL...,SET,20,0.37643,0.012417,0.15943,0.0091154,GO_PHOSPHOLIPID_DEPHOSPHORYLATION,0.747135771428571
GO_CALCINEURIN_MEDIATED_SIGN...,SET,44,0.29496,0.014422,0.12501,0.009155,GO_CALCINEURIN_MEDIATED_SIGNALING,0.747135771428571
GO_FUCOSE_METABOLIC_PROCESS,SET,6,0.69333,0.012531,0.29386,0.0091574,GO_FUCOSE_METABOLIC_PROCESS,0.747135771428571
GO_POSITIVE_REGULATION_OF_ER...4,SET,27,0.43232,0.016566,0.18341,0.0092148,GO_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,0.747135771428571
GO_T_CELL_DIFFERENTIATION,SET,220,0.1404,0.015276,0.059575,0.0092264,GO_T_CELL_DIFFERENTIATION,0.747135771428571
GO_METHYLATION,SET,310,0.10667,0.013743,0.045313,0.009291,GO_METHYLATION,0.747135771428571
REACTOME_CREB3_FACTORS_ACTIV...,SET,8,0.61317,0.012796,0.26225,0.0096959,REACTOME_CREB3_FACTORS_ACTIVATE_GENES,0.747135771428571
GO_PROTEIN_KINASE_C_ACTIVITY,SET,16,0.49652,0.014651,0.21241,0.0097116,GO_PROTEIN_KINASE_C_ACTIVITY,0.747135771428571
REACTOME_ALTERNATIVE_COMPLEM...,SET,4,1.0761,0.015882,0.46045,0.0097208,REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,0.747135771428571
GO_REGULATION_OF_GOLGI_TO_PL...,SET,7,0.7537,0.014713,0.32276,0.0097736,GO_REGULATION_OF_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,0.747135771428571
GO_ACTOMYOSIN,SET,69,0.24623,0.015066,0.10547,0.0097842,GO_ACTOMYOSIN,0.747135771428571
GO_PURINE_NUCLEOSIDE_TRIPHOS...,SET,6,0.79536,0.014375,0.34092,0.0098302,GO_PURINE_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS,0.747135771428571
GO_POSITIVE_REGULATION_OF_T_...10,SET,8,0.7984,0.016662,0.34305,0.0099782,GO_POSITIVE_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION,0.747135771428571
GO_POSITIVE_REGULATION_OF_RE...28,SET,10,0.74353,0.017347,0.31967,0.010018,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_TUMOR_CELL,0.747135771428571
GO_TRNA_MODIFICATION,SET,80,0.19501,0.012844,0.083872,0.01004,GO_TRNA_MODIFICATION,0.747135771428571
